 LMC23, T:An Affair to Remember, Cathleen Nesbitt, \Und, RU:, T:An Affair to Remember, D:McCarey," PN:McCarey, Jerry Wald", St:Fox, prc, Romt, aw," Empire State building, NYC, NY"," W(McCarey, Delmer Daves) "
 AMi12, T:Mr.~Wonderful, Willliam Hurt, \Und, RU:, T:Mr.~Wonderful, D:Minghella, P: Saul Zaentz, S:Miramax, col," Romt,Comd", aw, , 
 RdR30, T:Blonde Crazy, Maude Eburne, \Und, RU:, T:Blonde Crazy, D:delRuth, P:, St:Warners, bnw, Comd, H*, hotel, 
 NoT15, TZ:Cat from Outer Space, Ronnie Schell, \Und, RU:, Tm:Cat from Outer Space, D:Tokar, PN:Ron Miller, St:Disney, \Tcol, Fant, H, lc, 
 EuM10, TZ:Pancho Villa, Clint Walker, \Und, RU:, Tm:Pancho Villa, D:Eu.Marin, PN:Bernard Gordon, St:Granada, \Tcol, Advt, H, Mexico; T(1916), 
 BLe21, T:Wag the Dog, Jay Leno, \Cam," R:talk show host ""Jay Leno""", T:Wag the Dog, D:B.Levinson, PU:, SU:, col, Comd, aw," D.C.; Hollywood, CA"," W(Mamet, Hilary Henkin; AAN) Seen(28Jun1998)"
 JLp10, T:Impromptu, Anna Massey, \Und, RSU:, , Er(Masset)
 DdV4, T:Hoffa, Kevin Anderson, \Und, RU:, T:Hoffa, D:D.deVito, P:, St:Fox, col, Dram, , , W(Mamet) Cost(45M) 
 IF91, T:Tobacco Road, Spencer Charters, \Und, RU:, T:Tobacco Road, D:J.Ford," PN:Jack Kirkland, Harry H. Oshrin", St:Fox, bnw, Dram, H***," csd, GA", 
 DLR10, T:The Concorde --- Airport 79, Mercedes McCambridge, \Und, RU:, T:The Concorde --- Airport 79, D:Rich, P:J.Lang, St:Universal, \Tcol, , H 
 WWo10, T:The Hunchback of Notre Dame, Theda Bara, \Und, R:vamp, T:The Hunchback of Notre Dame, D:Worsley, PN:, St:Universal, bws, Horr, H**, lc, 
 HB70, T:Our Dancing Daughters, Joan Crawford, \Und, RU:, T:Our Dancing Daughters, D:H.Beaumont, P:Stromberg, SU:, sbw 
 CCr12, T:Whispers in the Dark, Jaqueline Brookes, \Und, R:Doug's mother, T:Whispers in the Dark, D:Ch.Crowe, PN:M.Bregman, St:Paramount, \DeLuxe," Susp,Porn", aw," N.Y., NY", 1992 
 IMS40, T:When Tomorrow Comes, Nydia Westman, \Und, R:, T:When Tomorrow Comes, D:Stahl, PN:, St:Universal, bnw, Dram, aw, lc, B(J.B.Cain) 
 ClC57, T:La Ceremonie, Isabelle Huppert, \Und," R:postmistress, threatens", T:La Ceremonie, D:Chabrol , PU:, SU:, col, Dram, aw," town, France", B(Ruth Rendell) Lang(\Fr)
 ChW25," T:Walk, Don't Run", Miiko Taka, \Und, RU:," T:Walk, Don't Run", D:Walters, P:Sol~Spiegel, St:Columbia, \Tcol, Comd, H*," Tokyo, Japan; T(1964)", M(Quincy Jones) 
 RC19, T:And Then There Were None, Harry Thurston, \Und," RZ:host ""Owens""", T:And Then There Were None, D:Clair, P:Clair, St:Popular Pictures, bnw, Susp, H****, island, W(D.Nichols) B(Agatha Christie) C(Lucien Andriot) M(Mario CastelNuevo-Tedesco) Alt(T:Ten Little Niggers; \GB)
 RvP6, T:Underground and Emigrants, Andy Warhol, \Und," R:artist ""Andy Warhol""", T:Underground and Emigrants, D:vonPraunheim, PN:, SU:, prc, Docu, aw," NYC, NY", W(VonPraunheim) 
 DLR3, T:To Catch a Butterfly, Ed Asner, \Und, R:trusting father, T:To Catch a Butterfly, D:Rich, P:Hitchcock," St:Shamley, CBS", bnw, Susp, , , TV(1Feb1963) Le(1h) 
 MSL10, TZ:Strange Behavior, Arthur Dignam, \Und, RU:, T:Strange Behavior, D:M.Laughlin, PN:, SU:, col, Horr, CG**," college town, Midwest"," R(R) Ser(Stange, 1)"
 AxC10, T:Star Time, John P. Ryan, \Und, R:TV personality, T:Star Time, D:Cassini, PN:, SU:, prc, Ctxx, aw, lc, 
 H43, T:Notorious, Alfred Hitchcock, \Cam, R:gulping champagne at Sebastians home, T:Notorious, D:Hitchcock, P:Hitchcock, St:RKO, bnw, Susp, H***," RioDe Janeiro, Brazil"," W(Ben Hecht; AAN) C(Tetzlaff) M(Roy Webb) Seen(20Jan1990, 30Jun1997) "
 WHu7, T:Quackser Fortune Has a Cousin in the Bronx, Seamus Ford, \Und," R:cousin ""Mr.Fortune""", Tm:Quackser Fortune Has a Cousin in the Bronx, D:W.Hussein, PN:John H. Cummingham, St:UMC, \Ecol, Comd, H*, Ireland, R(R) 
 WR120, T:Too Many Husbands, Edgar Buchanan, \Und, RU:, T:Too Many Husbands, D:Ruggles, P:Ruggles, St:Columbia, bnw," Comd,Romt", H**," town, US"
 MaC11, T:Lost in Yonkers, Mike Damus, \Und, R:son, T:Lost in Yonkers, D:Coolidge, PN:Ray Stark, St:Columbia, col, Comd, aw," Yonkers, NY; T(1943)", W(B(N.Simon)) 
 JqB22, T:Casque d'Or, Gaston Modot, \Und, RU:, T:Casque d'Or, D:J.Becker, PN:, SU:, bnw, Romt, aw, Paris; T(1900)," W(J.Becker, Companeez) V(Jean dEaubonne) "
 FZ18, T:A Man for All Seasons, Wendy Hiller, \Und, RU:, T:A Man for All Seasons, D:Zinneman, PN:, St:Columbia, col, , AA, , C(Ted Moore;AA) 
 IS11, T:Honky Tonk Freeway, George Dzunda, \Und, RU:, T:Honky Tonk Freeway, D:Schlesinger, PN:Don Boyd," St:EMI, HTF co", \Tcol, Comd, H," town, FL", E(J.Clark) 
 LoW5, T:Where are My Children, Juan DeLaCruz, \Und, RZ:abortion doctor, T:Where are My Children, D:Weber, PN:, St:Universal, sbw, Dram, , , CoD(Phillips Smalley) W(Lois Weber) 
 WiW4, T:The American Friend, Nicholas Ray, \Und, RU:, T:The American Friend, D:Wenders, PN:, SL:US, , , [4], B(Patricia Highsmith) 
 IBe4, T:Casbah, Hugo Haas, \Und, RU:, T:Casbah, D:Berry, PN:Erik Charell, St:Universal, bnw, Musc, H, , M(Harold Arlen; AAN) 
 IB105, T:Insomnia, Dorothea Lord, \Und, RZ:nurse, T:Insomnia, D:Brahm," P:Hitchcock, J.Harrison"," St:Shamley, CBS", bnw, Susp, , , TV(9May1960) Le(30m) W(B(Henry Slesar)) VT(N:HP5) 
 MWid15, T:Welcome to Sarajevo, Stephen Dillan, /Und," RZ:reportet, gets involved ""Michael Nicholson""", T:Welcome to Sarajevo, D:Winterbottom , PU:, SU:, col, Docu, aw, Yugoslavia, B(Michael Nicholson)
 Z9830, T:Merlin, Isabella Rosselini, \Und," RN:""Nimae""", T:Merlin, D:UnYear98,PN:Robert Helmi, SU:, TV, Fant, , lc, 
 WLa14," T:Wife, Doctor, and Nurse", Lon Chaney~jr., \Und, RU:," T:Wife, Doctor, and Nurse", D:W.Lang, P:R.Griffith, St:Fox, bnw, Romt, H*, lc, 
 NcG10, T:Place Vendome, Emmanuelle Seigner, \Und, RU:, T:Place Vendome, D:N.Garcia, PU:, SU:, prc, Dram, , lc, 
 PRo90, T:The Jade Mask, Sidney Toler, \Agn, R:detective, T:The Jade Mask, D:Rosen, PN:, St:Monogram, ," Myst, Comd", , , Ser(Charlie Chan; 34) 
 AJP15, T:Presumed Innocent, Bradley Whitford, \Und, RU:, T:Presumed Innocent, D:Pakula, P:S.Pollack, St:Warners, col, Dram, aw," city, Midwest", R(R) W(Pakula) B(Sott Turow) 
 REM5, T:Any Wednesday, King Moody, \Und, RU:, T:Any Wednesday, D:R.E.Miller, P:Julius~Epstein, St:Warners, \Tcol, Comd, H*, lc, R(PG) 
 JuA101, T:A Bullet for Baldwin, Philip Reed, \Und," R:impersonator, new boss, also shot", T:A Bullet for Baldwin, D:Addis, P:Hitchcock," St:Shamley,CBS"," bnw,TV", Susp, , , TV(1Jan1956) Le(30m) 
 MaC8, T:Rambling Rose, Diane Ladd, \Und, R:freethinking mother, AAN, T:Rambling Rose, D:Coolidge, PN:, SU:, , Romt, aw, , W(B(Calder Willingham)) 
 SiN10, TZ:New York Nights, William Dysart, \Und, RU:, T:New York Nights, D:Nuchtern, PN:, SU:, prc, Porn, aw, lc, R(R) W(Romano Vanderbes) 
 BDC8, TZ:Galaxy of Terror, Edward Albert, \Und, RU:, Tm:Galaxy of Terror, D:B.D.Clark, PN:, SU:, , ScFi, CG*, , R(R) Nt(Dir=B.D.Clark) 
 PM15, T:Scenes from a Mall, Betsy Mazursky, \Und, R:information clerk, T:Scenes from a Mall, D:Mazursky," PN:Paul Simon, Mazursky", St:Touchstone, \Tcol," Romt, Comd", ," LA, CA", Seen(20Oct1991) W(Roger Simon) R(R) M(Cole~Porter) 
 SSR12, T:True West, Tommy Lee Jones, \Und, RU:, T:True West, D:Sheppard, PN:, SU:, col, Dram, aw, lc, Er(19xx) 
 IrE1, T:On the Nose, Mike Ragan, \Und, RU:, T:On the Nose, D:Elman," P:Hitchcock, J.Harrison"," St:Shamley, CBS"," bnw,TV", Susp, , lc, TV(16Feb1958) Le(30m) B(Henry Slesar) VT(N:HQ7) Er(James Neilson D?) 
 JoP25, T:Man of a Thousand Faces, Jim Backus, \Und, RU:, T:Man of a Thousand Faces, D:Pevney, P:Robert~Arthur, St:U-I, bnw, BioP, H**, ," W(R.Wright Campbell, Ivan Goff, Ben Roberts; AAN) "
 LTu10, T:Marriage of A young Stockbroker, Barbara Morrison, \Und, RU:, T:Marriage of A young Stockbroker, D:Turman, PN:Turman, St:Fox, \DeLuxe, Dram, H**, lc, B(Charles Webb) C(L.Kovacs) 
 SPo6, T:Stir Crazy, Gene Wilder, \Und, RU:, Tm:Stir Crazy, D:Poitier, PN:, SU:, prc, CTxx, aw, lc, R(R) W(Bruce Jay Friedman) 
 WLa23, T:Moon over Miami, Robert Cummins, \Und," RZ:Jeff's father ""Willie""", T:Moon over Miami, D:W.Lang, PN:Harry Joe Brown, St:Fox, \Tcol, , H* ," diner, TX; hotel, Miami, FL; island FL", Seen(1Dec1998)
 JLG10, T:Une Femme Mari\'ee, Macha Meril, \Und, R:dissatisfied, T:Une Femme Mari\'ee, D:Godard, PN:, SU:, prc, Ctxx, aw, lc, 
 CEa1, T:Play Misty for Me, Don Siegel, \Und, R:bartender, T:Play Misty for Me, D:Eastwood, PN:Robert Daley, SU:, , Susp, ," Carmel, CA", R(R) 
 RaW63, T:They Died With Their Boots On, Hattie mcDaniel, \Und, RU:, T:They Died With Their Boots On, D:Walsh, PN:Robert Fellows, St:Warners, bnw, BioP, H**, Montana, C(Bert Glennon) 
 SHk15, T:Holy Man, Kelly Preston, \Und, R:shoping channel executive, T:Holy Man, D:Herek, PU:, SU:, prc, Comd, , lc, 
 PBo20, T:Noises Off, Christopher Reeve, \Und, RU:, T:Noises Off, D:Bogdanovich, PN:, SU:, col, Comd, , lc, B(Michael Frayn) W(Mart Kaplan) ,"|
", PBo22, T:The Thing Called Love, 1993, D:Bogdanovich, PN:, SU:, col, Romt, , lc, 
 RSt343, T:Specialty of the House, Robert Morley, \Und, R:ambitious gourmet, T:Specialty of the House, D:R.Stevens," P:Hitchcock, J.Harrison"," St:Shamley,CBS"," bnw,TV", Susp, , , TV(13Dec1959) Le(30m) 
 RHg10, T:Evening Star, Jack Nicholson, \Cam, lover, T:Evening Star, D:Harling, PU:, S:Paramount, prc, Romt, , TX, W(Robert Harling) B(Larry McMurtry) Ser(Terms of Endearment) 
 JNo10, T:Sunday, s a, \Und, R:adopted daughter, T:Sunday, D:Nossiter, PU:, S:, col, Romt, ," Queens, NY"," W(Nossiter, James Lasdun)"
 CH5, T:Anthony and Cleopatra, Jane Lapotaire, \Und, R:tiny, T:Anthony and Cleopatra, D:Heston, PN:Peter Snell," St:Transac(Zurich), Izuro(Madrid),Folio Films(London)", \Tcol, Dram, H*," Egypt; Rome, Italy", B(Shakespeare) 
 ERz6, T:Zero Hour," Anette J\""unger", \Und, RU:, T:Zero Hour, D:Reitz, P:Reitz, SU:, prc, Dram, , , 
 RPr10, T:Write to Kill, Ray Wise, \Und, RU:, T:Write to Kill, D:Preuss," PN:Preuss, Bonnie Sugar", SU:, col, Fant, aw, lc, Er(199x) 
 IFa45, T:The Unholy Wife, Luis vanRooten, \Und, RU:, T:The Unholy Wife, D:Farrow, P:Farrow, St:RKO, \Tcol, Dram, H, lc, 
 CDM40, T:The Affairs of Anatol, Monte Blue, \Und, RU:, T:The Affairs of Anatol, D:DeMille, PN:, St:Paramount, bws, Romt, aw," NYC, NY", B(Arthur Schnitzler) 
 WFr39, T:Sorcerer, Ramon Bieri, \Und, RU:, T:Sorcerer, D:Friedkin, P:Friedkin, St:Universal, \Tcol, Actn, H," cjungle, South America", Cost(20M) B(George Arnaud) 
" RaR10tr> t ""Three Lives and Only One Death","|  Marcello Mastroianni""", \Und," R:butler, kidnaps kid, murders mother"
 DBl24, T:Anastasia, Angela Lansbury, \Voi, R:queen dowager, T:Anastasia, D:Bluth, PN:Gary Goldman, S:Fox,\Tcol," Cart, Romt", aw," St.Petersburg, Russia; Paris, France; T(1916)"," CoD(Goldman) M(Lynn Ahrens, Steven Flaherty;AAN) M(David Newman ? )  Cost(35M) Seeen(5Apr1998) "
 ARw12, T:Somebody to Love, Quentin Tarantion, \Cam, RU:, T:Somebody to Love, PN:, SU:, prc, Romt, aw, lc, 
 RHo17," T:Cocoon, the Return", Jessica Tandy, \Und, R:old wife," T:Cocoon, the Return", D:R.Howard, PN:, SU:, col, Romt, , Fl, VT() Er(R.Howard D?) 
 RSt334, T:The Canary Sedan, Murray Matheson, \Und, R:cool husband, T:The Canary Sedan, D:R.Stevens, P:Hitchcock," St:Shamley,CBS"," bnw,TV", Susp, , Hong Kong, TV(15Jun1958) Le(30m) 
 IrK27, T:Robocop III, Bradley Whitford, \Und, RU:, T:Robocop III, D:Kershner, PN:, SU:, col, Actn, ," Detroit, MI", ER(D) 
 DLu10, T:It's Happening Tomorrow, Giovanni Giudelli, \Und, RZ:American mercenary, T:It's Happening Tomorrow, D:Luchetti, PN:, SU:, prc, Dram, aw," Tuscany, Italy; T(19th cent)", lang(\It) 
 IDu16, T:The Year my Voice Broke, Noah Taylor, \Und, R:teenager, T:The Year my Voice Broke, D:Duigan, PN:, SU:, prc, Romt, aw," town, NSW, Australialc"," Ser(Danny, 1) "
 LWo10, T:Endurance, Haile Gebrselassie, \Und," R:runner ""Haile Gebrselassie""", T:Endurance, D:Woodhead," PN:Terence Malik, Woodhead", SU:, prc, Docu, , Ethiopia, 
 AlB10, T:Dracula's Dog, Jose Ferrer, \Und, R:savior, T:Dracula's Dog, D:Bano," PN:Charles Band, Frank Ray Perilli", St:Crown, col, Horr, aw," Transylvania; csd, USA R(R)", 
 NLl109," T:I, Spy", Kay Walsh, \Und, R:extranged wife," T:I, Spy", D:N.Lloyd, P:Hitchcock," St:Shamley,CBS", bnw, Susp, , , TV(21Nov1961) Le(30m) W(John Collier) B(John Mortimer) 
 AR5, T:Last Year iat Marienbad, Geral Lorin, \Und, RU:, T:Last Year at Marienbad, D:Resnais, PN:Raymond Froment," St:Cineriz, Astor", bnw, Surr, W50," baroque hotel, town, Switzerland; T(1920)", W(Alain Robbe-Grillet) C(Sacha Vierney) Seen(1960)
 RSt332, T:Foghorn, William Yip, \Und, R:Chinese restaurant owner, T:Foghorn, D:R.Stevens," P:Hitchcock, J.Harrison"," St:Shamley,CBS"," bnw,TV", Susp, ," SFO, CA", TV(16Mar1958) Le(30m) Seen(2Jan1991) 
 Z5480, T:Haunted Summer, Eric Stoltz, \Und, RU:, T:Haunted Summer, D:Unknown54, PN:, SU:, prc, Ctxx, aw, lc, Er(19xx) 
 RAl98, T:Ready to Wear, Julia Roberts, \Und, RU:, T:Ready to Wear , D:Altman, PN:, SU:, col, Comd, ," Paris, France", Alt(T:Pret-a-porter; \Fr ?)
 IFr40, T:Year of the Gun, George Murcell, \Und, R:press agency boss, T:Year of the Gun, D:Frankenheimer, PN:Edward Pressman, SU:, col, Actn, [27]," Rome, Italy", 
 RaW65, T:Manpower, George Raft, \Und," R:power co. worker, friend", T:Manpower, D:Walsh, PN:, St:Warners, bnw, Ctxx, aw, lc, 
 ECn10, T:My Little Chickadee, Donald Meek, \Und, RU:, T:My Little Chickadee, D:Cline, PN:Leslie Cowan, St:Universal, bnw," West, Comd", aw, lc, 
 OP18, T:Where the Sidewalk Ends, Karl Malden, \Agt, R:precinct chief, T:Where the Sidewalk Ends, D:Preminger, PN:, St:Fox, bnw, Noir," N.Y., NY", , W(Hecht) 
